1-Gram,COUNT,RelativeFrequencies(%)
t,1462263,9.325546
i,1027506,6.552894
l,623425,3.975877
e,1954049,12.461899
n,1085881,6.925179
g,316927,2.021194
h,1111348,7.087594
y,295165,1.882407
f,368712,2.351452
o,1205285,7.686675
u,417239,2.660931
r,886970,5.656629
a,1291406,8.235909
w,363680,2.319360
p,244700,1.560568
s,975778,6.223000
d,739244,4.714510
m,393285,2.508165
c,339252,2.163571
b,241503,1.540179
k,116168,0.740859
z,9277,0.059164
v,151695,0.967431
q,14586,0.093022
j,24633,0.157096
x,20210,0.128889
