5-Gram,COUNT,RelativeFrequencies(%)
priam,8,0.000236
prian,5,0.000147
priap,2,0.000059
priat,35,0.001032
price,179,0.005279
prich,2,0.000059
prici,10,0.000295
prick,44,0.001298
prico,3,0.000088
pride,244,0.007196
pridi,3,0.000088
pried,2,0.000059
pries,1221,0.036008
priet,51,0.001504
priev,3,0.000088
prigh,113,0.003332
prigs,3,0.000088
prima,38,0.001121
prime,39,0.001150
primi,23,0.000678
priml,1,0.000029
primo,3,0.000088
primr,4,0.000118
primu,1,0.000029
primv,1,0.000029
princ,4413,0.130143
pring,461,0.013595
prink,92,0.002713
print,162,0.004777
prior,21,0.000619
prisa,1,0.000029
prisc,6,0.000177
prise,536,0.015807
prish,2,0.000059
prisi,61,0.001799
priso,680,0.020054
prist,3,0.000088
prite,1,0.000029
prith,2,0.000059
prits,5,0.000147
prium,1,0.000029
priva,335,0.009879
prive,100,0.002949
privi,78,0.002300
privy,9,0.000265
prize,83,0.002448
prizi,1,0.000029
proac,846,0.024949
proar,29,0.000855
proas,1,0.000029
proba,383,0.011295
probe,3,0.000088
probi,2,0.000059
probl,61,0.001799
probr,2,0.000059
proca,7,0.000206
proce,454,0.013389
proch,4,0.000118
proci,5,0.000147
procl,117,0.003450
proco,12,0.000354
procr,4,0.000118
procu,87,0.002566
prodd,11,0.000324
prodi,95,0.002802
prodr,1,0.000029
produ,305,0.008995
proem,1,0.000029
proep,1,0.000029
profa,85,0.002507
profe,197,0.005810
proff,5,0.000147
profi,226,0.006665
profl,6,0.000177
profo,100,0.002949
profu,29,0.000855
proge,9,0.000265
progn,1,0.000029
progr,117,0.003450
prohe,1,0.000029
prohi,25,0.000737
proje,199,0.005869
prokh,1,0.000029
proko,2,0.000059
prole,69,0.002035
proli,6,0.000177
prolo,64,0.001887
prome,8,0.000236
promi,922,0.027190
promo,79,0.002330
promp,83,0.002448
promu,6,0.000177
prone,12,0.000354
prong,5,0.000147
proni,1,0.000029
pronn,4,0.000118
prono,88,0.002595
prons,6,0.000177
pronu,4,0.000118
proof,157,0.004630
proot,7,0.000206
propa,15,0.000442
prope,560,0.016515
proph,1111,0.032764
propi,37,0.001091
propo,396,0.011678
propp,22,0.000649
propr,88,0.002595
props,2,0.000059
propt,1,0.000029
propu,1,0.000029
prore,1,0.000029
prosa,2,0.000059
prosc,1,0.000029
prose,58,0.001710
prosi,1,0.000029
prosp,220,0.006488
prost,66,0.001946
prosy,72,0.002123
prote,451,0.013300
proti,9,0.000265
proto,1,0.000029
protr,33,0.000973
protu,2,0.000059
proud,309,0.009113
prous,2,0.000059
prout,18,0.000531
prouv,1,0.000029
prova,50,0.001475
prove,934,0.027544
provi,961,0.028341
provo,211,0.006223
prowe,27,0.000796
prowl,22,0.000649
prows,5,0.000147
proxi,22,0.000649
prozo,2,0.000059
prtor,1,0.000029
pruce,2,0.000059
prude,187,0.005515
prudi,4,0.000118
prugs,3,0.000088
prune,5,0.000147
prung,55,0.001622
pruni,4,0.000118
prush,1,0.000029
pruss,61,0.001799
pryan,2,0.000059
pryed,1,0.000029
pryin,11,0.000324
prymn,1,0.000029
prynn,2,0.000059
przaz,1,0.000029
przeb,4,0.000118
cwacy,1,0.000029
cweat,1,0.000029
cweep,1,0.000029
psack,15,0.000442
psacu,1,0.000029
psail,7,0.000206
psake,4,0.000118
psalm,304,0.008965
psalt,32,0.000944
pscal,1,0.000029
cwine,1,0.000029
cwipt,1,0.000029
pseru,1,0.000029
psest,1,0.000029
psett,6,0.000177
pseud,4,0.000118
pshch,2,0.000059
psher,8,0.000236
pshir,7,0.000206
pshoo,12,0.000354
pshot,7,0.000206
psias,1,0.000029
psica,1,0.000029
psich,1,0.000029
pside,29,0.000855
